time ~/seamc castle-20.tif OUT-castle-20.tif -143
0.000000 sec this iteration (445)
0.000000 sec this iteration (444)
0.000000 sec this iteration (443)
0.000000 sec this iteration (442)
0.000000 sec this iteration (441)
0.000000 sec this iteration (440)
0.000000 sec this iteration (439)
0.000000 sec this iteration (438)
0.000000 sec this iteration (437)
0.000000 sec this iteration (436)
0.000000 sec this iteration (435)
0.000000 sec this iteration (434)
0.000000 sec this iteration (433)
0.000000 sec this iteration (432)
0.000000 sec this iteration (431)
0.000000 sec this iteration (430)
1.000000 sec this iteration (429)
0.000000 sec this iteration (428)
0.000000 sec this iteration (427)
0.000000 sec this iteration (426)
0.000000 sec this iteration (425)
0.000000 sec this iteration (424)
0.000000 sec this iteration (423)
0.000000 sec this iteration (422)
0.000000 sec this iteration (421)
0.000000 sec this iteration (420)
0.000000 sec this iteration (419)
0.000000 sec this iteration (418)
0.000000 sec this iteration (417)
0.000000 sec this iteration (416)
0.000000 sec this iteration (415)
0.000000 sec this iteration (414)
0.000000 sec this iteration (413)
0.000000 sec this iteration (412)
0.000000 sec this iteration (411)
0.000000 sec this iteration (410)
0.000000 sec this iteration (409)
0.000000 sec this iteration (408)
0.000000 sec this iteration (407)
0.000000 sec this iteration (406)
0.000000 sec this iteration (405)
0.000000 sec this iteration (404)
0.000000 sec this iteration (403)
0.000000 sec this iteration (402)
0.000000 sec this iteration (401)
0.000000 sec this iteration (400)
0.000000 sec this iteration (399)
0.000000 sec this iteration (398)
0.000000 sec this iteration (397)
0.000000 sec this iteration (396)
0.000000 sec this iteration (395)
0.000000 sec this iteration (394)
0.000000 sec this iteration (393)
0.000000 sec this iteration (392)
0.000000 sec this iteration (391)
0.000000 sec this iteration (390)
0.000000 sec this iteration (389)
0.000000 sec this iteration (388)
0.000000 sec this iteration (387)
0.000000 sec this iteration (386)
0.000000 sec this iteration (385)
0.000000 sec this iteration (384)
0.000000 sec this iteration (383)
0.000000 sec this iteration (382)
0.000000 sec this iteration (381)
0.000000 sec this iteration (380)
0.000000 sec this iteration (379)
0.000000 sec this iteration (378)
0.000000 sec this iteration (377)
0.000000 sec this iteration (376)
0.000000 sec this iteration (375)
0.000000 sec this iteration (374)
0.000000 sec this iteration (373)
1.000000 sec this iteration (372)
0.000000 sec this iteration (371)
0.000000 sec this iteration (370)
0.000000 sec this iteration (369)
0.000000 sec this iteration (368)
0.000000 sec this iteration (367)
0.000000 sec this iteration (366)
