time ~/seamc castle-10.tif OUT-castle-10.tif -71
0.000000 sec this iteration (153)
0.000000 sec this iteration (152)
0.000000 sec this iteration (151)
0.000000 sec this iteration (150)
0.000000 sec this iteration (149)
0.000000 sec this iteration (148)
0.000000 sec this iteration (147)
0.000000 sec this iteration (146)
0.000000 sec this iteration (145)
0.000000 sec this iteration (144)
castle-20.tif -> OUT-castle-20.tif (-143 x 0)
(w x h) IN: 286 x 194  OUT: 143 x 194

real	0m0.428s
user	0m0.420s
sys	0m0.008s
time ~/seamc castle-30.tif OUT-castle-30.tif -214
0.000000 sec this iteration (428)
0.000000 sec this iteration (427)
0.000000 sec this iteration (426)
0.000000 sec this iteration (425)
0.000000 sec this iteration (424)
0.000000 sec this iteration (423)
0.000000 sec this iteration (422)
0.000000 sec this iteration (421)
0.000000 sec this iteration (420)
0.000000 sec this iteration (419)
0.000000 sec this iteration (418)
0.000000 sec this iteration (417)
0.000000 sec this iteration (416)
0.000000 sec this iteration (415)
0.000000 sec this iteration (414)
0.000000 sec this iteration (413)
0.000000 sec this iteration (412)
0.000000 sec this iteration (411)
0.000000 sec this iteration (410)
0.000000 sec this iteration (409)
0.000000 sec this iteration (408)
0.000000 sec this iteration (407)
0.000000 sec this iteration (406)
0.000000 sec this iteration (405)
0.000000 sec this iteration (404)
0.000000 sec this iteration (403)
0.000000 sec this iteration (402)
0.000000 sec this iteration (401)
0.000000 sec this iteration (400)
0.000000 sec this iteration (399)
0.000000 sec this iteration (398)
0.000000 sec this iteration (397)
0.000000 sec this iteration (396)
0.000000 sec this iteration (395)
0.000000 sec this iteration (394)
0.000000 sec this iteration (393)
0.000000 sec this iteration (392)
0.000000 sec this iteration (391)
0.000000 sec this iteration (390)
0.000000 sec this iteration (389)
0.000000 sec this iteration (388)
0.000000 sec this iteration (387)
0.000000 sec this iteration (386)
0.000000 sec this iteration (385)
0.000000 sec this iteration (384)
0.000000 sec this iteration (383)
0.000000 sec this iteration (382)
0.000000 sec this iteration (381)
0.000000 sec this iteration (380)
0.000000 sec this iteration (379)
0.000000 sec this iteration (378)
0.000000 sec this iteration (377)
0.000000 sec this iteration (376)
0.000000 sec this iteration (375)
0.000000 sec this iteration (374)
0.000000 sec this iteration (373)
0.000000 sec this iteration (372)
0.000000 sec this iteration (371)
0.000000 sec this iteration (370)
0.000000 sec this iteration (369)
0.000000 sec this iteration (368)
0.000000 sec this iteration (367)
0.000000 sec this iteration (366)
0.000000 sec this iteration (365)
0.000000 sec this iteration (364)
0.000000 sec this iteration (363)
0.000000 sec this iteration (362)
0.000000 sec this iteration (361)
0.000000 sec this iteration (360)
0.000000 sec this iteration (359)
0.000000 sec this iteration (358)
0.000000 sec this iteration (357)
0.000000 sec this iteration (356)
0.000000 sec this iteration (355)
0.000000 sec this iteration (354)
0.000000 sec this iteration (353)
0.000000 sec this iteration (352)
0.000000 sec this iteration (351)
0.000000 sec this iteration (350)
0.000000 sec this iteration (349)
0.000000 sec this iteration (348)
0.000000 sec this iteration (347)
0.000000 sec this iteration (346)
0.000000 sec this iteration (345)
0.000000 sec this iteration (344)
0.000000 sec this iteration (343)
0.000000 sec this iteration (342)
0.000000 sec this iteration (341)
0.000000 sec this iteration (340)
0.000000 sec this iteration (339)
0.000000 sec this iteration (338)
0.000000 sec this iteration (337)
0.000000 sec this iteration (336)
0.000000 sec this iteration (335)
0.000000 sec this iteration (334)
0.000000 sec this iteration (333)
0.000000 sec this iteration (332)
0.000000 sec this iteration (331)
0.000000 sec this iteration (330)
0.000000 sec this iteration (329)
0.000000 sec this iteration (328)
0.000000 sec this iteration (327)
0.000000 sec this iteration (326)
0.000000 sec this iteration (325)
0.000000 sec this iteration (324)
0.000000 sec this iteration (323)
0.000000 sec this iteration (322)
0.000000 sec this iteration (321)
0.000000 sec this iteration (320)
0.000000 sec this iteration (319)
0.000000 sec this iteration (318)
0.000000 sec this iteration (317)
0.000000 sec this iteration (316)
0.000000 sec this iteration (315)
0.000000 sec this iteration (314)
0.000000 sec this iteration (313)
0.000000 sec this iteration (312)
0.000000 sec this iteration (311)
0.000000 sec this iteration (310)
1.000000 sec this iteration (309)
0.000000 sec this iteration (308)
0.000000 sec this iteration (307)
0.000000 sec this iteration (306)
0.000000 sec this iteration (305)
0.000000 sec this iteration (304)
0.000000 sec this iteration (303)
0.000000 sec this iteration (302)
0.000000 sec this iteration (301)
0.000000 sec this iteration (300)
0.000000 sec this iteration (299)
0.000000 sec this iteration (298)
0.000000 sec this iteration (297)
0.000000 sec this iteration (296)
0.000000 sec this iteration (295)
0.000000 sec this iteration (294)
0.000000 sec this iteration (293)
0.000000 sec this iteration (292)
0.000000 sec this iteration (291)
0.000000 sec this iteration (290)
0.000000 sec this iteration (289)
0.000000 sec this iteration (288)
0.000000 sec this iteration (287)
0.000000 sec this iteration (286)
0.000000 sec this iteration (285)
0.000000 sec this iteration (284)
0.000000 sec this iteration (283)
0.000000 sec this iteration (282)
